ds,holiday,lower_window,upper_window
6/30/2017,scratch,0,7
7/4/2017,holiday,-2,2
8/11/2017,scratch,0,7
10/13/2017,scratch,0,7
11/10/2017,scratch,0,7
11/23/2017,holiday,-2,2
12/1/2017,scratch,0,7
12/15/2017,scratch,0,7
12/25/2017,holiday,-2,2
