Date,Txns,Sales
23-Aug-2015,46463,2898596
24-Aug-2015,44784,2131571
25-Aug-2015,47517,2451650
26-Aug-2015,59066,4088217
27-Aug-2015,57566,3219144
28-Aug-2015,56621,3184153
29-Aug-2015,60334,4210609
30-Aug-2015,52293,3463534
31-Aug-2015,48673,2475423
1-Sep-2015,52904,2868229
2-Sep-2015,56671,3199341
3-Sep-2015,56545,3107187
4-Sep-2015,67060,4283318
5-Sep-2015,64216,4814017
6-Sep-2015,50841,3725727
7-Sep-2015,45002,3367955
8-Sep-2015,45831,2224313
9-Sep-2015,45501,2164981
10-Sep-2015,45691,2178724
11-Sep-2015,51752,2640168
12-Sep-2015,58929,3671677
13-Sep-2015,47214,2716645
14-Sep-2015,47950,2209606
15-Sep-2015,48914,2335183
16-Sep-2015,52161,3324875
17-Sep-2015,49239,2660127
18-Sep-2015,72081,5299835
19-Sep-2015,70338,5568171
20-Sep-2015,45752,2894456
21-Sep-2015,44370,2210163
22-Sep-2015,46282,2502456
23-Sep-2015,46542,2440479
24-Sep-2015,46076,2343557
25-Sep-2015,53579,2997810
26-Sep-2015,53645,3584624
27-Sep-2015,41001,2604268
28-Sep-2015,40544,1918646
29-Sep-2015,44049,2283273
30-Sep-2015,62128,4070611
1-Oct-2015,62051,3721266
2-Oct-2015,62940,3760710
3-Oct-2015,63064,4389849
4-Oct-2015,48345,3006144
5-Oct-2015,47533,2357651
6-Oct-2015,50433,2692569
7-Oct-2015,51186,2518342
8-Oct-2015,50073,2424070
9-Oct-2015,58405,3265207
10-Oct-2015,55794,3587648
11-Oct-2015,43632,2645979
12-Oct-2015,38937,2170101
13-Oct-2015,46381,2056741
14-Oct-2015,63566,5006146
15-Oct-2015,59301,3866560
16-Oct-2015,62948,4089937
17-Oct-2015,66170,5338803
18-Oct-2015,56082,4280335
19-Oct-2015,52638,3102524
20-Oct-2015,59633,4028224
21-Oct-2015,47005,2206256
22-Oct-2015,48315,2266440
23-Oct-2015,54882,2799689
24-Oct-2015,53568,3303749
25-Oct-2015,42477,2416373
26-Oct-2015,43353,1991015
27-Oct-2015,45276,2081606
28-Oct-2015,46548,2336512
29-Oct-2015,53261,2684939
30-Oct-2015,76514,5064873
31-Oct-2015,69285,4896641
1-Nov-2015,51372,3445344
2-Nov-2015,44060,2047185
3-Nov-2015,47707,2406961
4-Nov-2015,50327,2981449
5-Nov-2015,49855,2631819
6-Nov-2015,60358,3441712
7-Nov-2015,58515,3990041
8-Nov-2015,45631,2898174
9-Nov-2015,43017,2031494
10-Nov-2015,47045,2333603
11-Nov-2015,65419,7368303
12-Nov-2015,60826,4151235
13-Nov-2015,68919,4820439
14-Nov-2015,70863,6025893
15-Nov-2015,65604,5462933
16-Nov-2015,49278,2373550
17-Nov-2015,47935,2583147
18-Nov-2015,59451,3405119
19-Nov-2015,55128,2892558
20-Nov-2015,64670,3796916
21-Nov-2015,63851,4358991
22-Nov-2015,50558,4404585
23-Nov-2015,51046,2882534
24-Nov-2015,55923,3237256
25-Nov-2015,63285,3796550
26-Nov-2015,819,18793
27-Nov-2015,172661,34321083
28-Nov-2015,106050,11178052
29-Nov-2015,73916,6653654
30-Nov-2015,53822,2830825
1-Dec-2015,56994,2774188
2-Dec-2015,70908,5156213
3-Dec-2015,70535,4705484
4-Dec-2015,79439,5480595
5-Dec-2015,85600,7056131
6-Dec-2015,68485,5255479
7-Dec-2015,64225,4120202
8-Dec-2015,75436,5341478
9-Dec-2015,64579,4035329
10-Dec-2015,66388,4154056
11-Dec-2015,74831,5072018
12-Dec-2015,86652,7331568
13-Dec-2015,68917,5614987
14-Dec-2015,69821,4705165
15-Dec-2015,77253,5506335
16-Dec-2015,81741,6141515
17-Dec-2015,80626,5863098
18-Dec-2015,88654,6919635
19-Dec-2015,93244,9062781
20-Dec-2015,74903,6739969
21-Dec-2015,86394,7219059
22-Dec-2015,98891,8775851
23-Dec-2015,103343,8127901
24-Dec-2015,86801,6797407
26-Dec-2015,76788,4711350
27-Dec-2015,49715,2573216
28-Dec-2015,56292,2483168
29-Dec-2015,58559,2815253
30-Dec-2015,64566,3580508
31-Dec-2015,62654,3530290
1-Jan-2016,25347,1504098
2-Jan-2016,58175,3311033
3-Jan-2016,45434,2371056
4-Jan-2016,49614,2135899
5-Jan-2016,49100,2201238
6-Jan-2016,48493,2199500
7-Jan-2016,47728,2127596
8-Jan-2016,54042,2581742
9-Jan-2016,55975,3292171
10-Jan-2016,44425,2431313
11-Jan-2016,44077,1871514
12-Jan-2016,45419,2007097
13-Jan-2016,47147,2207129
14-Jan-2016,54303,2769040
15-Jan-2016,68533,4434223
16-Jan-2016,66918,4704396
17-Jan-2016,45132,2667495
18-Jan-2016,40942,2279151
19-Jan-2016,50403,2192757
20-Jan-2016,46614,2051677
21-Jan-2016,47661,2143029
22-Jan-2016,48377,2310924
23-Jan-2016,47539,2679940
24-Jan-2016,37254,1915130
25-Jan-2016,35098,1329726
26-Jan-2016,38658,1662502
27-Jan-2016,62993,4756384
28-Jan-2016,54150,3227732
29-Jan-2016,68716,4459148
30-Jan-2016,71759,5583726
31-Jan-2016,53733,3860997
1-Feb-2016,49138,2692382
2-Feb-2016,57809,3540614
3-Feb-2016,45194,2175380
4-Feb-2016,44937,2141724
5-Feb-2016,54004,2828160
6-Feb-2016,58012,3666044
7-Feb-2016,41588,2249722
8-Feb-2016,40655,1877232
9-Feb-2016,44932,2124931
10-Feb-2016,51950,3263411
11-Feb-2016,57069,3444420
12-Feb-2016,70203,4460828
13-Feb-2016,72801,5200875
14-Feb-2016,54029,3774202
15-Feb-2016,42449,2688364
16-Feb-2016,49007,2381298
17-Feb-2016,46365,2212076
18-Feb-2016,48146,2457749
19-Feb-2016,53587,2876174
20-Feb-2016,55969,3602323
21-Feb-2016,45686,2749232
22-Feb-2016,42219,1964075
23-Feb-2016,43349,2242489
24-Feb-2016,60178,3765386
25-Feb-2016,55737,2969089
26-Feb-2016,60921,3320323
27-Feb-2016,67893,4681946
28-Feb-2016,48053,2949615
29-Feb-2016,45264,2062842
1-Mar-2016,47366,2285298
2-Mar-2016,48142,2458130
3-Mar-2016,48205,2408502
4-Mar-2016,54166,2834780
5-Mar-2016,57834,3670143
6-Mar-2016,46486,2822689
7-Mar-2016,43047,2035449
8-Mar-2016,45685,2181231
9-Mar-2016,48301,2579462
10-Mar-2016,47650,2432686
11-Mar-2016,54909,2939321
12-Mar-2016,60505,3993299
13-Mar-2016,48025,2916626
14-Mar-2016,46327,2166775
15-Mar-2016,47751,2211754
16-Mar-2016,60437,4764148
17-Mar-2016,56569,3628929
18-Mar-2016,61011,3932350
19-Mar-2016,63939,5103755
20-Mar-2016,52514,3988546
21-Mar-2016,52092,3021607
22-Mar-2016,58522,3709084
23-Mar-2016,49007,2344561
24-Mar-2016,49418,2464167
25-Mar-2016,58489,3174503
26-Mar-2016,57947,3494852
27-Mar-2016,31320,1715471
28-Mar-2016,45603,2001054
29-Mar-2016,45591,2049848
30-Mar-2016,58564,2949694
31-Mar-2016,56774,2779758
1-Apr-2016,82965,6982397
2-Apr-2016,80476,7170262
3-Apr-2016,72154,6257800
4-Apr-2016,46077,1995861
5-Apr-2016,48981,2189790
6-Apr-2016,49875,2327300
7-Apr-2016,49298,2343614
8-Apr-2016,56209,2847851
9-Apr-2016,55549,3403267
10-Apr-2016,44634,2634310
11-Apr-2016,43575,1907448
12-Apr-2016,44533,2114371
13-Apr-2016,59999,4552090
14-Apr-2016,59666,3693694
15-Apr-2016,66289,4128842
16-Apr-2016,66352,4810029
17-Apr-2016,52881,3682167
18-Apr-2016,50146,2593514
19-Apr-2016,56005,3209613
20-Apr-2016,48830,2508211
21-Apr-2016,48485,2470058
22-Apr-2016,57505,3364502
23-Apr-2016,57873,4028086
24-Apr-2016,47004,3147045
25-Apr-2016,45286,2245251
26-Apr-2016,49728,2621590
27-Apr-2016,58590,3600290
28-Apr-2016,57909,3148063
29-Apr-2016,75531,5273367
30-Apr-2016,70575,5387788
1-May-2016,59144,4310798
2-May-2016,51950,2523899
3-May-2016,52919,2600529
4-May-2016,65905,3826009
5-May-2016,60218,3130652
6-May-2016,68256,3921121
7-May-2016,74361,5015348
8-May-2016,51203,3180215
9-May-2016,48804,2233939
10-May-2016,53830,2578068
11-May-2016,50720,3147701
12-May-2016,55074,3055123
13-May-2016,63458,3824321
14-May-2016,63584,4396954
15-May-2016,51399,3396460
16-May-2016,48281,2399668
17-May-2016,47824,2427698
18-May-2016,51216,2908977
19-May-2016,51902,2739309
20-May-2016,57853,3219118
21-May-2016,57920,3879677
22-May-2016,47310,3143628
23-May-2016,46571,2339931
24-May-2016,48731,2590005
25-May-2016,68625,4010697
26-May-2016,63687,3374722
27-May-2016,71015,4170374
28-May-2016,71381,5008127
29-May-2016,56167,3883550
30-May-2016,46194,3362371
31-May-2016,55489,2877275
1-Jun-2016,54995,2801740
2-Jun-2016,55746,2783335
3-Jun-2016,61129,3193610
4-Jun-2016,57395,3432224
5-Jun-2016,48225,2837859
