PO_ID,Item_num,Item_desc,Txns,Sls_U,Sls_$
640117377,10697005,JACK REACHER NEVER GO BACK,1.00,8.00,159.92
640117442,10697024,JACK REACHER NEVER GO BACK,1.00,8.00,207.92
640117597,10697019,LILO AND STITCH 2 MOVIE COLLECTION REPACKAGE 2017,1.00,8.00,183.92
640117597,10628593,PINOCCHIO,1.00,16.00,447.84
640117597,10122257,SNOW WHITE AND THE SEVEN DWARFS,1.00,16.00,431.84
640117643,10354651,ADVENTURES IN BABYSITTING,1.00,8.00,119.92
640117656,10443708,ORIGINALS THE COMPLETE 3RD SEASON,1.00,8.00,263.92
640117656,10340625,YONA OF THE DAWN,1.00,8.00,343.92
640117656,10269925,YAMISHIBAI JAPANESE GHOST STORIES,1.00,8.00,183.92
640117656,9939350,ORIGINALS THE COMPLETE 2ND SEASON,1.00,8.00,199.92
640117669,9725775,FIFTY SHADES OF GREY,1.00,8.00,95.92
640117780,10697009,TYLER PERRY BOO A MADEA HALLOWEEN,1.00,8.00,159.92
640117780,10637762,INFERNO DVD 1/24/17,1.00,8.00,159.92
640117812,10666523,THE GIRL ON THE TRAIN,1.00,8.00,199.92
640117812,10417438,BATMAN THE KILLING JOKE BDDVDUV,1.00,8.00,159.92
640117824,10697009,TYLER PERRY BOO A MADEA HALLOWEEN,1.00,8.00,159.92
640117922,10697026,TYLER PERRY BOO A MADEA HALLOWEEN,1.00,8.00,215.92
640117922,10697025,BALLERS 2ND SEASON,1.00,8.00,215.92
640117922,10697024,JACK REACHER NEVER GO BACK,1.00,8.00,207.92
640117922,10666533,MASTERMINDS BD DVD,1.00,8.00,199.92
640117947,10697005,JACK REACHER NEVER GO BACK,1.00,8.00,159.92
640118109,10594557,SUICIDE SQUAD,1.00,8.00,215.92
640118205,9214519,"SYLVANIA SDVD7040B 7"" PORTABLE DVD",1.00,8.00,383.92
640118205,7467169,TOWN,1.00,8.00,39.92
640118205,6841757,BATMAN BEGINS W/S,1.00,8.00,39.92
640118205,6841463,BLOW,1.00,8.00,39.92
640118205,6135971,SEMI-PRO WS/FS DVD,1.00,8.00,47.92
640118238,10697009,TYLER PERRY BOO A MADEA HALLOWEEN,1.00,8.00,159.92
640118306,10697009,TYLER PERRY BOO A MADEA HALLOWEEN,1.00,8.00,159.92
640118306,10697005,JACK REACHER NEVER GO BACK,1.00,8.00,159.92
640118306,10696994,TYLER PERRY MADEA ON THE RUN,1.00,8.00,119.92
640118362,10697026,TYLER PERRY BOO A MADEA HALLOWEEN,1.00,8.00,215.92
640118389,9150278,HEROES OF THE OLD WEST,1.00,8.00,31.92
640118447,8540452,GAME OF THRONES: 2ND SEASON,1.00,8.00,303.92
640118447,8065976,GAME OF THRONES,1.00,8.00,303.92
640118495,6141499,THE BOONDOCKS: 2ND SEASON DVD,1.00,8.00,175.92
640118495,5525837,BONDOCK: 1ST SEASON,1.00,8.00,175.92
640118534,8892168,AAAHH REAL MONSTERS COMPLETE SERIES,1.00,8.00,175.92
640118534,7929813,H.POTTER YEARS 1-7 COMPLETE,1.00,8.00,679.92
640118587,10697026,TYLER PERRY BOO A MADEA HALLOWEEN,1.00,8.00,159.92
640118587,10697010,TYLER PERRY MADEA ON THE RUN,1.00,8.00,103.92
640118779,8273006,GRIMM: 1ST SEASON,1.00,8.00,279.92
640118830,8990788,RIDDICK,1.00,8.00,103.92
640118830,8856823,NOW YOU SEE ME,1.00,8.00,63.92
640118830,7457547,INCEPTION,1.00,8.00,39.92
640118833,10697005,JACK REACHER NEVER GO BACK,1.00,8.00,159.92
640118929,10697010,TYLER PERRY MADEA ON THE RUN,1.00,8.00,159.92
640118929,10245896,CAPTAIN AMERICA FIRST AVENGER BD,1.00,8.00,199.92
640118929,9851771,X MEN DAYS OF FUTURE PAST ROUGUE CUT,1.00,8.00,159.92
640119083,10417438,BATMAN THE KILLING JOKE BDDVDUV,1.00,8.00,159.92
640119193,10697005,JACK REACHER NEVER GO BACK,1.00,8.00,159.92
640119214,10697026,TYLER PERRY BOO A MADEA HALLOWEEN,1.00,8.00,159.92
640119214,10696994,TYLER PERRY MADEA ON THE RUN,1.00,8.00,119.92
640119248,10697026,TYLER PERRY BOO A MADEA HALLOWEEN,1.00,8.00,215.92
640119264,9188001,ORANGE IS THE NEW BLACK 1ST SEASON,1.00,8.00,143.92
640119297,9939236,BLACKLIST 2ND SEASON,1.00,8.00,343.92
640119347,10528442,NERVE,1.00,8.00,159.92
640119366,10512408,AMERICAN CRIME STORY PEOPLE VS OJ SIMPSON,1.00,8.00,159.92
640119451,10512475,POKEMON MASTER QUEST COMPLETE COLLECTION,1.00,8.00,319.92
640119507,10417488,BEAUTY AND THE BEAST 25TH ANNIV EDT BDDVDDIGITAL,1.00,8.00,215.92
640119507,6929605,HUNCHBACK OF NOTRE DAME,1.00,8.00,103.92
640119657,10697005,JACK REACHER NEVER GO BACK,1.00,8.00,159.92
640119657,10666520,MASTERMINDS DVD,1.00,8.00,159.92
640119657,10528456,STAR WARS THE FORCE AWAKENS 3D BD BD DVD DIGITAL,1.00,8.00,287.92
640119657,10468007,WORLD BREAK ARIA OF CURSE FOR HOLY SWORDSMAN,1.00,8.00,335.92
640119681,10594557,SUICIDE SQUAD,1.00,8.00,119.92
640120015,10697024,JACK REACHER NEVER GO BACK,1.00,8.00,207.92
640120055,10697026,TYLER PERRY BOO A MADEA HALLOWEEN,1.00,8.00,159.92
640120120,10628593,PINOCCHIO,1.00,8.00,183.92
640120295,9939322,PAW PATROL MEET EVEREST,1.00,8.00,79.92
640120295,9160906,SESAME STREETAPLPHABET SONGS,1.00,8.00,63.92
640120321,10149513,BATMAN BAD BLOOD,1.00,8.00,127.92
640120321,10039574,VATICAN TAPES THE,1.00,8.00,63.92
640287950,10697009,TYLER PERRY BOO A MADEA HALLOWEEN,1.00,8.00,143.92
640287950,10444767,BATMAN V SUPERMAN DAWN OF JUSTICE,1.00,8.00,159.92
640288008,10697009,TYLER PERRY BOO A MADEA HALLOWEEN,1.00,8.00,98.48
640288008,9214519,"SYLVANIA SDVD7040B 7"" PORTABLE DVD",1.00,8.00,364.72
640288051,9610526,JOHN WICK,1.00,8.00,103.92
640288087,10443719,ELEMENTARY 4TH SEASON,1.00,8.00,192.00
640288087,10243701,AMERICANS THE 3RD SEASON,1.00,8.00,149.92
640288087,9553490,AMERICANS THE 2ND SEASON,1.00,8.00,101.92
640288133,10444788,FINDING DORY BD DVD DIGITAL HD,1.00,8.00,205.12
640288207,10574230,KUBO AND THE TWO STRINGS DVD,1.00,8.00,151.92
