format,fy,date,txns
DEPOT,2016,7/4/2016,27
DEPOT,2016,7/5/2016,294
DEPOT,2016,7/6/2016,288
DEPOT,2016,7/7/2016,331
DEPOT,2016,7/8/2016,224
DEPOT,2016,7/9/2016,78
DEPOT,2016,7/10/2016,75
DEPOT,2016,7/11/2016,334
DEPOT,2016,7/12/2016,296
DEPOT,2016,7/13/2016,296
DEPOT,2016,7/14/2016,305
DEPOT,2016,7/15/2016,226
DEPOT,2016,7/16/2016,81
DEPOT,2016,7/17/2016,90
DEPOT,2016,7/18/2016,335
DEPOT,2016,7/19/2016,345
DEPOT,2016,7/20/2016,338
DEPOT,2016,7/21/2016,318
DEPOT,2016,7/22/2016,240
DEPOT,2016,7/23/2016,89
DEPOT,2016,7/24/2016,98
DEPOT,2016,7/25/2016,379
DEPOT,2016,7/26/2016,298
DEPOT,2016,7/27/2016,341
DEPOT,2016,7/28/2016,354
DEPOT,2016,7/29/2016,262
DEPOT,2016,7/30/2016,86
DEPOT,2016,7/31/2016,87
DEPOT,2016,8/1/2016,458
DEPOT,2016,8/2/2016,410
DEPOT,2016,8/3/2016,427
DEPOT,2016,8/4/2016,390
DEPOT,2016,8/5/2016,355
DEPOT,2016,8/6/2016,80
DEPOT,2016,8/7/2016,89
DEPOT,2016,8/8/2016,399
DEPOT,2016,8/9/2016,387
DEPOT,2016,8/10/2016,383
DEPOT,2016,8/11/2016,382
DEPOT,2016,8/12/2016,280
DEPOT,2016,8/13/2016,129
DEPOT,2016,8/14/2016,99
DEPOT,2016,8/15/2016,445
DEPOT,2016,8/16/2016,469
DEPOT,2016,8/17/2016,457
DEPOT,2016,8/18/2016,411
DEPOT,2016,8/19/2016,351
DEPOT,2016,8/20/2016,118
DEPOT,2016,8/21/2016,128
DEPOT,2016,8/22/2016,270
DEPOT,2016,8/23/2016,453
DEPOT,2016,8/24/2016,540
DEPOT,2016,8/25/2016,475
DEPOT,2016,8/26/2016,412
DEPOT,2016,8/27/2016,154
DEPOT,2016,8/28/2016,78
DEPOT,2016,8/29/2016,633
DEPOT,2016,8/30/2016,523
DEPOT,2016,8/31/2016,558
DEPOT,2016,9/1/2016,531
DEPOT,2016,9/2/2016,388
DEPOT,2016,9/3/2016,102
DEPOT,2016,9/5/2016,82
DEPOT,2016,9/6/2016,439
DEPOT,2016,9/7/2016,384
DEPOT,2016,9/8/2016,363
DEPOT,2016,9/9/2016,243
DEPOT,2016,9/10/2016,114
DEPOT,2016,9/11/2016,99
DEPOT,2016,9/12/2016,372
DEPOT,2016,9/13/2016,357
DEPOT,2016,9/14/2016,409
DEPOT,2016,9/15/2016,350
DEPOT,2016,9/16/2016,251
DEPOT,2016,9/17/2016,90
DEPOT,2016,9/18/2016,69
DEPOT,2016,9/19/2016,402
DEPOT,2016,9/20/2016,371
DEPOT,2016,9/21/2016,308
DEPOT,2016,9/22/2016,335
DEPOT,2016,9/23/2016,230
DEPOT,2016,9/24/2016,91
DEPOT,2016,9/25/2016,124
DEPOT,2016,9/26/2016,311
DEPOT,2016,9/27/2016,348
DEPOT,2016,9/28/2016,310
DEPOT,2016,9/29/2016,345
DEPOT,2016,9/30/2016,262
DEPOT,2016,10/1/2016,101
DEPOT,2016,10/2/2016,93
DEPOT,2016,10/3/2016,402
DEPOT,2016,10/4/2016,371
DEPOT,2016,10/5/2016,328
DEPOT,2016,10/6/2016,328
DEPOT,2016,10/7/2016,217
DEPOT,2016,10/8/2016,93
DEPOT,2016,10/10/2016,70
DEPOT,2016,10/11/2016,348
DEPOT,2016,10/12/2016,312
DEPOT,2016,10/13/2016,339
DEPOT,2016,10/14/2016,250
DEPOT,2016,10/15/2016,134
DEPOT,2016,10/16/2016,121
DEPOT,2016,10/17/2016,376
DEPOT,2016,10/18/2016,386
DEPOT,2016,10/19/2016,358
DEPOT,2016,10/20/2016,399
DEPOT,2016,10/21/2016,279
DEPOT,2016,10/22/2016,96
DEPOT,2016,10/23/2016,97
DEPOT,2016,10/24/2016,375
DEPOT,2016,10/25/2016,383
DEPOT,2016,10/26/2016,412
DEPOT,2016,10/27/2016,390
DEPOT,2016,10/28/2016,260
DEPOT,2016,10/29/2016,148
DEPOT,2016,10/30/2016,103
DEPOT,2016,10/31/2016,439
DEPOT,2016,11/1/2016,365
DEPOT,2016,11/2/2016,394
DEPOT,2016,11/3/2016,388
DEPOT,2016,11/4/2016,296
DEPOT,2016,11/5/2016,123
DEPOT,2016,11/6/2016,56
DEPOT,2016,11/7/2016,363
DEPOT,2016,11/8/2016,415
DEPOT,2016,11/9/2016,299
DEPOT,2016,11/10/2016,311
DEPOT,2016,11/11/2016,27
DEPOT,2016,11/12/2016,122
DEPOT,2016,11/13/2016,29
DEPOT,2016,11/14/2016,367
DEPOT,2016,11/15/2016,428
DEPOT,2016,11/16/2016,357
DEPOT,2016,11/17/2016,363
DEPOT,2016,11/18/2016,264
DEPOT,2016,11/19/2016,100
DEPOT,2016,11/20/2016,59
DEPOT,2016,11/21/2016,376
DEPOT,2016,11/22/2016,413
DEPOT,2016,11/23/2016,427
DEPOT,2016,11/24/2016,5
DEPOT,2016,11/25/2016,254
DEPOT,2016,11/26/2016,122
DEPOT,2016,11/27/2016,43
DEPOT,2016,11/28/2016,387
DEPOT,2016,11/29/2016,393
DEPOT,2016,11/30/2016,380
DEPOT,2016,12/1/2016,412
DEPOT,2016,12/2/2016,322
DEPOT,2016,12/3/2016,153
DEPOT,2016,12/4/2016,115
DEPOT,2016,12/5/2016,462
DEPOT,2016,12/6/2016,473
DEPOT,2016,12/7/2016,445
DEPOT,2016,12/8/2016,397
DEPOT,2016,12/9/2016,312
DEPOT,2016,12/10/2016,121
DEPOT,2016,12/11/2016,130
DEPOT,2016,12/12/2016,437
DEPOT,2016,12/13/2016,425
DEPOT,2016,12/14/2016,410
DEPOT,2016,12/15/2016,395
DEPOT,2016,12/16/2016,281
DEPOT,2016,12/17/2016,111
DEPOT,2016,12/18/2016,80
DEPOT,2016,12/19/2016,381
DEPOT,2016,12/20/2016,396
DEPOT,2016,12/21/2016,335
DEPOT,2016,12/22/2016,318
DEPOT,2016,12/23/2016,241
DEPOT,2016,12/24/2016,72
DEPOT,2016,12/26/2016,76
DEPOT,2016,12/27/2016,305
DEPOT,2016,12/28/2016,320
DEPOT,2016,12/29/2016,324
DEPOT,2016,12/30/2016,273
DEPOT,2016,12/31/2016,67
DEPOT,2016,1/2/2017,119
DEPOT,2016,1/3/2017,329
DEPOT,2016,1/4/2017,386
DEPOT,2016,1/5/2017,437
DEPOT,2016,1/6/2017,263
DEPOT,2016,1/7/2017,112
DEPOT,2016,1/8/2017,90
DEPOT,2016,1/9/2017,384
DEPOT,2016,1/10/2017,395
DEPOT,2016,1/11/2017,350
DEPOT,2016,1/12/2017,328
DEPOT,2016,1/13/2017,276
DEPOT,2016,1/14/2017,119
DEPOT,2016,1/16/2017,100
DEPOT,2016,1/17/2017,391
DEPOT,2016,1/18/2017,376
DEPOT,2016,1/19/2017,321
DEPOT,2016,1/20/2017,264
DEPOT,2016,1/21/2017,94
DEPOT,2016,1/22/2017,82
DEPOT,2016,1/23/2017,393
DEPOT,2016,1/24/2017,379
DEPOT,2016,1/25/2017,310
DEPOT,2016,1/26/2017,373
DEPOT,2016,1/27/2017,246
DEPOT,2016,1/28/2017,88
DEPOT,2017,1/29/2017,97
DEPOT,2017,1/30/2017,357
DEPOT,2017,1/31/2017,365
DEPOT,2017,2/1/2017,371
DEPOT,2017,2/2/2017,317
DEPOT,2017,2/3/2017,279
DEPOT,2017,2/4/2017,88
DEPOT,2017,2/5/2017,68
DEPOT,2017,2/6/2017,307
DEPOT,2017,2/7/2017,344
DEPOT,2017,2/8/2017,327
DEPOT,2017,2/9/2017,328
DEPOT,2017,2/10/2017,250
DEPOT,2017,2/11/2017,113
DEPOT,2017,2/12/2017,75
DEPOT,2017,2/13/2017,356
DEPOT,2017,2/14/2017,357
DEPOT,2017,2/15/2017,311
DEPOT,2017,2/16/2017,323
DEPOT,2017,2/17/2017,242
DEPOT,2017,2/18/2017,112
DEPOT,2017,2/20/2017,24
DEPOT,2017,2/21/2017,358
DEPOT,2017,2/22/2017,340
DEPOT,2017,2/23/2017,320
DEPOT,2017,2/24/2017,249
DEPOT,2017,2/25/2017,114
DEPOT,2017,2/26/2017,43
DEPOT,2017,2/27/2017,366
DEPOT,2017,2/28/2017,332
DEPOT,2017,3/1/2017,372
DEPOT,2017,3/2/2017,292
DEPOT,2017,3/3/2017,259
DEPOT,2017,3/4/2017,107
DEPOT,2017,3/5/2017,55
DEPOT,2017,3/6/2017,367
DEPOT,2017,3/7/2017,361
DEPOT,2017,3/8/2017,337
DEPOT,2017,3/9/2017,312
DEPOT,2017,3/10/2017,249
DEPOT,2017,3/11/2017,126
DEPOT,2017,3/12/2017,88
DEPOT,2017,3/13/2017,330
DEPOT,2017,3/14/2017,343
