ID,POS Txn,Style,Item,Desc,# Txns
58,639851337,9907383,24,HANES CREW NECK T-SHIRT- 4 PK NAVY BAS,1
59,639851426,2183536,50,T/T SB-1 5OZ HINGED SOAP BOX 144PK,1
60,639851429,743864,54,(FE11) REESES PNUT BUTTER CUP SNGL,1
60,639851429,2880392,55,PEPSI 20OZ PET,1
61,639851432,2653982,56,(FE11) HERSHEY KIT KAT KNG SZ,1
62,639851434,8504296,57,AXE DETAILER SHOWER TOOL,1
63,639851437,3182134,17,DEER PARK SPRING WATER 700ML SPORT TOP PET,1
64,639851443,6698867,14,EXSEL 200CT CTN BALLS TRPL,1
65,639851449,9562321,58,CHARMIN 4 DR BATH TISSUE ULTRA STRONG 154 SHT,1
65,639851449,4407879,10,CLR DVC/AWC E5 MF (SU),1
66,639851450,3182135,59,DEER PARK SPRING WATER 1.5LTR PET,1
67,639851457,8955778,60,MB DAWN 21.6OZ DISH DET ORIGINAL,1
68,639851466,2183536,50,T/T SB-1 5OZ HINGED SOAP BOX 144PK,1
69,639851470,2662862,61,(FE) SNICKERS KNG SZ,1
70,639851476,9445562,62,HERSHEY COOKIES N CREAM KNG SZ,1
71,639851486,7358697,51,NESTLE PURE LIFE WATER 16.9OZ 24PK PET,1
71,639851486,9907383,24,HANES CREW NECK T-SHIRT- 4 PK NAVY BAS,1
71,639851486,12375619,29,HANES 6 PACK CREWNECK T-SHIRT,1
71,639851486,12375668,8,HANES 5 PACK DYED BOXER BRIEF,1
72,639851494,2900475,63,CVRL CLR DVC E5 SIL,1
72,639851494,9907383,24,HANES CREW NECK T-SHIRT- 4 PK NAVY BAS,1
73,639851500,2662862,61,(FE) SNICKERS KNG SZ,1
74,639851501,10121061,64,HOMZ 30PK WHITE,1
75,639851507,2879705,2,MT DEW 20OZ PET,1
76,639851508,2655548,32,(FE11) REESES PNUT BUTTER CUP KNG SZ,1
77,639851513,9907383,24,HANES CREW NECK T-SHIRT- 4 PK NAVY BAS,1
78,639851516,4609585,65,EXSEL WHT QLTD COTTON RND 80CT,1
79,639851517,8504296,57,AXE DETAILER SHOWER TOOL,1
79,639851517,12375668,8,HANES 5 PACK DYED BOXER BRIEF,1
80,639851522,814617,6,"MB HEFTY FOAM PLATES 8 7/8"" 50CT",1
81,639851525,2880392,55,PEPSI 20OZ PET,1
81,639851525,8766179,21,NWU BOOT BAND,1
82,639851527,2369992,66,R UNIT NAVY ACHIEV,1
82,639851527,2386531,37,R UNIT GWOT SVC,1
82,639851527,2904009,67,"ATTACH 3/16"" STAR BRZ",1
82,639851527,2904019,68,"ATTACH 3/16"" STAR 2 ON A BAR BRZ",1
82,639851527,2904211,69,MOUNT 5R BAR HLDR MTL,1
82,639851527,2960155,42,R UNIT NATL DEFENSE,1
82,639851527,2960189,43,R UNIT NAVY EXP PISTOL,1
82,639851527,2960194,44,R UNIT NAVY GOOD COND,1
82,639851527,4704505,70,MDL LG GWOT SVC,1
83,639851530,8504296,57,AXE DETAILER SHOWER TOOL,1
83,639851530,10392440,27,T-SHT NWU 100%COTN MED 3PK,1
84,639851531,8504296,57,AXE DETAILER SHOWER TOOL,1
85,639851532,10266140,16,ANGEL SOFT 12 DR BATH TISSUE REGULAR 264 SHT,1
86,639851543,7270074,11,GOLD TOE 6 PK CREW COTTON BANDED SOCK:#001 BLACK B,1
86,639851543,9907383,24,HANES CREW NECK T-SHIRT- 4 PK NAVY BAS,1
86,639851543,4609585,65,EXSEL WHT QLTD COTTON RND 80CT,1
87,639851545,11167982,71,HV (FE) EN MAX BATTERY AA 8PK,1
88,639851547,2662862,61,(FE) SNICKERS KNG SZ,1
89,639851549,10392440,27,T-SHT NWU 100%COTN MED 3PK,1
90,639851551,7358697,51,NESTLE PURE LIFE WATER 16.9OZ 24PK PET,1
90,639851551,8625802,72,MARLBORO SMOOTH MNTHL BX PK FSC,1
91,639851554,4576684,33,GATORADE FROST GLACIER FREEZE 32OZ PET,1
92,639851559,2904230,73,ARIZONA GREEN TEA W/ GINSENG 23OZ CAN,1
92,639851559,11801551,18,BODY BENEFITS FIT MENS SPONGE,1
93,639851563,7053718,74,"BELT44"" MEN BLK NYL MFTIP V",1
93,639851563,8172437,75,NWU PARKA RANK TAB E4 (3/C),1
