loc,order_nbr,item
194,18665041,10777331
194,18681338,103114
194,18681338,9759955
194,18738054,533883
194,18738200,8110623
194,18822205,3638930
194,18822205,8669508
198,18665042,3689555
198,18665042,6057064
198,18665042,10777331
198,18681339,103114
198,18681339,9759955
198,18822206,3638930
198,18822206,8669508
200,18665043,3689555
200,18665043,6057064
200,18665043,10777331
200,18681340,103114
200,18681340,9759955
200,18738056,533883
200,18822207,8669508
227,18665044,3689555
227,18665044,6057064
227,18665044,10777331
227,18681341,103114
227,18681341,9759955
227,18738057,533883
227,18738203,8110623
227,18822208,8669508
233,18665045,3689555
233,18665045,6057064
233,18665045,10777331
233,18681342,103114
233,18681342,9759955
233,18738058,533883
233,18738204,8110623
233,18822209,3638930
233,18822209,8669508
236,18665046,3689555
236,18665046,6057064
236,18665046,10253542
236,18665046,10254578
236,18665046,10777331
236,18665046,10777437
236,18665046,10777548
236,18681343,103114
236,18681343,9759955
236,18738059,533883
236,18738205,8110623
236,18822210,3638930
236,18822210,8669508
243,18665047,3689555
243,18665047,6057064
243,18665047,10777331
243,18681344,103114
243,18738060,533883
243,18822211,8669508
246,18665048,10777331
247,18665049,6057064
247,18665049,10777331
247,18681346,103114
247,18681346,9759955
247,18738061,533883
247,18738206,8110623
247,18822212,3638930
247,18822212,8669508
263,18665050,3689555
263,18665050,6057064
263,18665050,10253542
263,18665050,10254578
263,18665050,10777331
263,18665050,10777437
263,18665050,10777548
263,18681347,103114
263,18681347,9759955
263,18738062,533883
263,18738207,8110623
263,18822213,3638930
263,18822213,3638931
263,18822213,8669508
265,18665051,3689555
265,18665051,6057064
265,18665051,10253542
265,18665051,10254578
265,18665051,10777331
265,18665051,10777437
265,18665051,10777548
265,18681348,103114
265,18681348,9759955
265,18738063,533883
265,18822214,3638930
265,18822214,3638931
265,18822214,8669508
266,18665052,3689555
266,18665052,6057064
266,18665052,10777331
266,18665052,10777437
266,18681349,103114
266,18681349,9759955
266,18738064,533883
266,18738209,8110623
266,18822215,3638930
266,18822215,8669508
274,18665053,3689555
274,18665053,6057064
274,18665053,10253542
274,18665053,10254578
274,18665053,10777331
274,18665053,10777437
274,18665053,10777548
274,18681350,103114
274,18681350,9759955
274,18738065,533883
274,18738210,8110623
274,18822216,3638930
274,18822216,8669508
281,18665054,3689555
281,18665054,6057064
281,18665054,10777331
281,18681351,103114
281,18738066,533883
282,18665005,3689555
282,18665005,6057064
282,18665005,10777331
282,18681270,103114
282,18681270,9759955
282,18738214,8110623
282,18738430,533883
282,18822173,3638930
282,18822173,8669508
291,18665006,3689555
291,18665006,6057064
291,18665006,10253542
291,18665006,10777331
291,18665006,10777437
291,18665006,10777548
291,18681271,103114
291,18738431,533883
291,18822174,3638930
291,18822174,8669508
292,18665007,3689555
292,18665007,6057064
292,18665007,10253542
292,18665007,10254578
292,18665007,10777331
292,18665007,10777437
292,18665007,10777548
292,18681272,103114
292,18681272,9759955
292,18738215,8110623
292,18738432,533883
292,18822175,3638930
292,18822175,3638931
292,18822175,8669508
293,18665008,3689555
293,18665008,6057064
293,18665008,10777331
293,18681273,103114
293,18681273,9759955
293,18738433,533883
293,18822176,8669508
296,18665009,3689555
296,18665009,6057064
296,18665009,10777331
296,18681274,103114
296,18681274,9759955
296,18738216,8110623
296,18738434,533883
296,18822177,3638930
296,18822177,8669508
301,18665010,3689555
301,18665010,6057064
301,18665010,10777331
301,18681275,103114
301,18681275,9759955
301,18738435,533883
301,18822178,3638930
301,18822178,8669508
302,18665011,3689555
302,18665011,6057064
302,18665011,10777331
302,18681276,103114
302,18681276,9759955
302,18738218,8110623
302,18738436,533883
302,18822179,3638930
302,18822179,8669508
304,18665012,3689555
304,18665012,6057064
304,18665012,10777331
304,18681277,103114
304,18681277,9759955
304,18738219,8110623
304,18738437,533883
304,18822180,3638930
304,18822180,8669508
310,18665013,3689555
310,18665013,6057064
310,18665013,10777331
310,18681278,103114
310,18738438,533883
314,18665014,3689555
314,18665014,6057064
314,18665014,10777331
314,18681279,103114
314,18681279,9759955
314,18738221,8110623
314,18738439,533883
314,18822181,3638930
314,18822181,8669508
335,18665015,3689555
335,18665015,6057064
335,18665015,10253542
335,18665015,10254578
335,18665015,10777331
335,18665015,10777437
335,18665015,10777548
335,18681280,103114
335,18681280,9759955
335,18738222,8110623
335,18738440,533883
335,18822182,3638930
335,18822182,3638931
335,18822182,8669508
342,18665016,3689555
342,18665016,6057064
342,18665016,10777331
342,18681281,103114
342,18681281,9759955
342,18738223,8110623
342,18738441,533883
342,18822183,8669508
350,18665017,10777331
350,18681282,103114
350,18681282,9759955
350,18738442,533883
350,18822184,8669508
366,18665018,3689555
366,18665018,6057064
366,18665018,10253542
366,18665018,10254578
366,18665018,10777331
366,18665018,10777437
366,18665018,10777548
366,18681283,103114
366,18681283,9759955
366,18738443,533883
366,18822185,3638930
366,18822185,3638931
366,18822185,8669508
374,18665019,3689555
374,18665019,6057064
374,18665019,10777331
374,18681284,103114
