Day,Date,Sales $,Plan $,Sales $ LY,MD $,MD $ LY,MD %,MD % LY,Ad Drop,Scratcher,Pay,Clrn,Coupon,Neg,Scratcher LY,Pay LY,Clrn LY,Coupon LY,Neg LY,Hit LY
Wed,10/19/2016,4186.87,4000.00,4191.32,421.00,562.63, 0.10 , 0.13 ,1,0,0,0,1,0,0,0,0,1,0,0
Thu,10/20/2016,3773.27,3900.00,4077.66,266.73,679.72, 0.07 , 0.17 ,0,0,0,0,0,0,0,0,0,0,0,0
Fri,10/21/2016,5044.94,5300.00,5059.46,453.58,346.12, 0.09 , 0.07 ,0,0,0,0,1,0,0,0,0,0,0,0
Sat,10/22/2016,5091.60,5400.00,4886.44,475.09,306.25, 0.09 , 0.06 ,0,0,0,0,0,0,0,0,0,0,0,1
Sun,10/23/2016,3903.43,3600.00,3566.10,393.65,211.33, 0.10 , 0.06 ,0,0,0,0,0,0,0,0,0,0,0,1
Mon,10/24/2016,3416.56,3700.00,3612.20,404.61,346.38, 0.12 , 0.10 ,0,0,0,0,0,0,0,0,0,0,0,0
Tue,10/25/2016,3809.93,3800.00,3711.46,275.37,273.55, 0.07 , 0.07 ,0,0,0,0,0,0,0,0,0,0,0,1
Wed,10/26/2016,4194.15,4200.00,4143.08,249.40,280.78, 0.06 , 0.07 ,1,0,0,0,0,0,0,0,0,1,0,1
Thu,10/27/2016,4478.17,4800.00,4689.56,550.02,295.81, 0.12 , 0.06 ,0,0,0,0,0,0,0,0,0,0,0,0
Fri,10/28/2016,5598.39,7650.00,7602.91,764.68,1183.82, 0.14 , 0.16 ,0,0,0,0,0,0,0,1,0,0,0,0
Sat,10/29/2016,5975.73,7200.00,6766.81,,969.31,  , 0.14 ,0,0,0,0,0,0,0,0,0,0,0,0
Sun,10/30/2016,4823.20,5400.00,4782.17,629.18,750.94, 0.13 , 0.16 ,0,0,0,0,1,0,0,0,0,0,0,1
Mon,10/31/2016,3973.39,3600.00,3680.86,821.96,1158.80, 0.21 , 0.31 ,0,0,0,0,0,0,0,0,0,0,0,1
Tue,11/1/2016,4294.90,4000.00,4134.74,1094.89,1028.30, 0.25 , 0.25 ,0,0,1,0,0,0,0,0,0,0,0,1
Wed,11/2/2016,5001.96,5100.00,4837.88,1159.62,379.40, 0.23 , 0.08 ,1,0,0,0,1,0,0,0,0,0,0,1
Thu,11/3/2016,4536.60,4627.00,4599.54,916.04,880.62, 0.20 , 0.19 ,0,0,0,0,0,0,0,0,0,0,0,0
Fri,11/4/2016,5594.15,5730.00,5786.27,538.36,505.65, 0.10 , 0.09 ,0,0,0,0,0,0,0,0,0,0,0,0
Sat,11/5/2016,5316.28,5859.00,5572.96,516.50,425.25, 0.10 , 0.08 ,0,0,0,0,0,0,0,0,0,0,0,0
Sun,11/6/2016,3923.45,4500.00,4071.71,325.60,344.03, 0.08 , 0.08 ,0,0,0,0,0,0,0,0,0,0,0,0
Mon,11/7/2016,3460.20,4100.00,3620.56,722.36,872.85, 0.21 , 0.24 ,0,0,0,0,0,0,0,0,0,0,0,0
Tue,11/8/2016,3507.95,4014.00,4240.97,679.36,622.53, 0.19 , 0.15 ,0,0,0,0,0,0,0,0,0,0,0,0
Wed,11/9/2016,5969.88,7500.00,8897.04,868.96,1304.10, 0.15 , 0.15 ,1,1,0,0,0,0,0,0,0,0,0,0
Thu,11/10/2016,6201.87,7000.00,6441.85,1185.84,1235.74, 0.19 , 0.19 ,0,0,0,0,0,0,0,0,0,0,0,0
