Day,Date,Sales $,Plan $,Sales $ LY,MD $,MD $ LY,MD %,MD % LY,Ad Drop,Scratcher,Pay,Clrn,Coupon,Neg,Scratcher LY,Pay LY,Clrn LY,Coupon LY,Neg LY,Hit LY
Sun,1/31/2016,5262.83,5400.00,5254.69,948.97,662.07, 0.18 , 0.13 ,0,1,0,1,0,0,1,0,0,0,0,1
Mon,2/1/2016,4490.10,4800.00,4814.58,458.03,514.16, 0.10 , 0.11 ,0,0,1,0,0,0,0,0,0,0,1,0
Tue,2/2/2016,5449.20,4400.00,4010.30,498.95,260.83, 0.09 , 0.07 ,0,0,0,0,0,0,0,0,0,0,1,1
Wed,2/3/2016,4218.19,4200.00,4759.39,308.00,237.78, 0.07 , 0.05 ,1,0,0,0,0,0,0,0,0,0,0,0
Thu,2/4/2016,4281.77,4400.00,4333.44,295.39,3196.40, 0.07 , 0.74 ,0,0,0,0,0,0,1,0,0,0,0,0
Fri,2/5/2016,5089.64,5400.00,5116.03,624.16,2610.91, 0.12 , 0.51 ,0,0,0,0,0,1,0,1,0,0,0,0
Sat,2/6/2016,5433.77,5800.00,5979.35,457.77,303.03, 0.08 , 0.05 ,0,0,0,0,0,0,0,0,0,0,0,0
Sun,2/7/2016,3754.94,4400.00,4425.06,280.27,210.59, 0.07 , 0.05 ,0,0,0,0,0,0,1,0,0,0,0,0
Mon,2/8/2016,3461.65,4200.00,3799.67,1570.37,3120.77, 0.45 , 0.82 ,0,0,0,0,0,1,0,0,0,0,0,0
Tue,2/9/2016,3838.86,4200.00,4167.29,1302.08,750.16, 0.34 , 0.18 ,0,0,0,0,0,0,0,0,0,0,0,0
Wed,2/10/2016,5305.54,5800.00,5431.33,2133.52,431.90, 0.40 , 0.08 ,1,0,0,0,1,0,0,0,0,0,0,0
Thu,2/11/2016,5784.25,5800.00,5850.05,2039.36,446.85, 0.35 , 0.08 ,0,0,0,0,0,0,0,0,0,0,0,0
Fri,2/12/2016,6892.76,8200.00,8998.17,626.61,1280.20, 0.09 , 0.14 ,0,0,1,0,1,0,0,1,1,0,0,0
Sat,2/13/2016,6941.80,7775.00,7475.51,583.57,1010.39, 0.08 , 0.14 ,0,0,0,0,0,1,0,0,0,0,0,0
Sun,2/14/2016,4986.11,4123.00,5003.69,406.68,775.57, 0.08 , 0.15 ,0,0,0,0,0,0,0,0,0,0,0,0
Mon,2/15/2016,3865.13,4234.00,4191.92,599.08,798.39, 0.15 , 0.19 ,0,0,0,0,0,0,0,0,0,0,0,0
Tue,2/16/2016,4163.46,3955.00,3245.14,351.67,355.10, 0.08 , 0.11 ,0,0,0,0,0,0,0,0,0,0,1,1
Wed,2/17/2016,4272.79,4345.02,4284.43,395.49,415.08, 0.09 , 0.10 ,1,0,0,0,0,0,0,0,0,0,0,0
Thu,2/18/2016,4308.18,4345.02,4705.68,285.34,423.43, 0.07 , 0.09 ,0,0,0,0,0,0,0,0,0,0,0,0
Fri,2/19/2016,4997.40,5514.31,5247.05,447.51,480.07, 0.09 , 0.09 ,0,0,0,0,0,0,0,1,1,0,0,0
Sat,2/20/2016,5145.93,5124.55,5523.73,335.78,526.09, 0.07 , 0.10 ,0,0,0,0,0,0,0,0,0,0,0,0
Sun,2/21/2016,3958.04,3955.25,4089.78,302.50,365.23, 0.08 , 0.09 ,0,0,0,0,0,0,0,0,0,0,0,0
Mon,2/22/2016,3651.25,3565.49,3672.62,312.65,380.71, 0.09 , 0.10 ,0,0,0,0,0,0,0,0,0,0,0,0
Tue,2/23/2016,3872.82,3955.25,4070.51,436.18,377.86, 0.11 , 0.09 ,0,0,0,0,0,0,0,0,0,0,1,0
Wed,2/24/2016,5876.71,5435.00,5005.76,2123.09,401.26, 0.36 , 0.08 ,1,0,0,1,0,0,0,0,0,0,0,1
Thu,2/25/2016,4729.04,5765.00,4279.07,1075.59,341.80, 0.23 , 0.08 ,0,0,0,0,0,0,0,0,0,0,1,1
Fri,2/26/2016,5555.52,5127.55,5971.74,1068.09,510.56, 0.19 , 0.09 ,0,0,0,0,0,0,0,1,0,0,0,0
Sat,2/27/2016,6470.11,5514.31,6525.08,1135.06,565.29, 0.18 , 0.09 ,0,0,0,0,0,0,0,0,0,0,0,0
Sun,2/28/2016,4304.22,4700.00,4726.52,313.75,524.94, 0.07 , 0.11 ,0,0,0,0,0,0,0,0,0,0,0,0
Mon,2/29/2016,3749.17,4035.00,4016.54,615.94,850.01, 0.16 , 0.21 ,0,0,0,0,0,0,0,0,0,0,0,0
Tue,3/1/2016,3962.17,4305.00,4277.65,1085.37,1092.77, 0.27 , 0.26 ,0,0,1,0,0,0,0,0,0,0,0,0
Wed,3/2/2016,4563.00,4690.00,4643.96,323.71,273.87, 0.07 , 0.06 ,1,0,0,0,0,0,0,0,0,0,0,0
Thu,3/3/2016,4277.78,4055.00,4003.22,594.73,814.44, 0.14 , 0.20 ,0,0,0,0,0,0,0,0,0,0,1,1
Fri,3/4/2016,4947.09,5320.00,5278.98,349.20,307.97, 0.07 , 0.06 ,0,0,0,0,0,0,0,0,0,0,0,0
Sat,3/5/2016,5232.14,5500.00,5435.09,333.82,225.95, 0.06 , 0.04 ,0,0,0,0,0,0,0,0,0,0,0,0
Sun,3/6/2016,4041.35,4165.00,4138.52,256.16,172.32, 0.06 , 0.04 ,0,0,0,0,0,0,0,0,0,0,1,0
Mon,3/7/2016,3701.63,3465.00,3490.38,1168.91,1245.06, 0.32 , 0.36 ,0,0,0,0,0,0,0,0,0,0,0,1
Tue,3/8/2016,3937.13,3655.00,3612.32,1082.59,1557.24, 0.27 , 0.43 ,0,0,0,0,0,0,0,0,0,0,0,1
Wed,3/9/2016,4764.49,4770.00,7845.18,347.29,1254.35, 0.07 , 0.16 ,1,0,0,0,1,0,1,0,0,0,0,0
Thu,3/10/2016,4330.98,4660.00,6481.36,1085.60,1453.17, 0.25 , 0.22 ,0,0,0,0,0,0,0,0,0,0,0,0
Fri,3/11/2016,5017.45,5140.00,7283.07,324.22,861.04, 0.06 , 0.12 ,0,0,0,0,0,0,0,1,0,0,0,0
Sat,3/12/2016,5623.65,5450.00,7730.65,328.34,981.17, 0.06 , 0.13 ,0,0,0,0,0,0,0,0,0,0,0,0
Sun,3/13/2016,4251.44,4265.00,5789.95,191.71,696.69, 0.05 , 0.12 ,0,0,0,0,0,0,0,0,0,0,0,0
Mon,3/14/2016,3932.36,3765.00,5120.02,308.41,577.41, 0.08 , 0.11 ,0,0,0,0,0,0,0,0,0,0,0,0
Tue,3/15/2016,4069.20,4015.00,5874.16,270.45,699.43, 0.07 , 0.12 ,0,0,1,0,0,0,0,0,0,0,0,0
Wed,3/16/2016,7042.49,7860.00,4638.07,849.82,347.39, 0.12 , 0.07 ,1,1,0,0,0,0,0,0,0,0,0,1
Thu,3/17/2016,5726.62,6505.00,4597.73,694.49,394.93, 0.12 , 0.09 ,0,0,0,0,0,0,0,0,0,0,0,1
Fri,3/18/2016,6062.12,7310.00,5055.01,633.85,471.69, 0.10 , 0.09 ,0,0,0,0,0,0,0,0,0,0,0,1
Sat,3/19/2016,6617.57,7750.00,5334.14,666.51,390.69, 0.10 , 0.07 ,0,0,0,0,0,0,0,0,0,0,0,1
Sun,3/20/2016,5291.98,5800.00,4174.06,527.36,298.62, 0.10 , 0.07 ,0,0,0,0,0,0,0,0,0,0,0,1
Mon,3/21/2016,4845.37,5135.00,3701.88,481.74,330.84, 0.10 , 0.09 ,0,0,0,0,0,0,0,0,0,0,0,1
Tue,3/22/2016,5633.23,5905.00,3986.27,591.24,575.51, 0.10 , 0.14 ,0,0,0,0,0,0,0,0,0,0,0,1
Wed,3/23/2016,4662.04,4870.00,4737.72,321.99,631.35, 0.07 , 0.13 ,1,0,0,0,1,0,0,0,0,0,0,0
Thu,3/24/2016,4401.63,4285.00,4217.86,316.09,437.72, 0.07 , 0.10 ,0,0,0,0,0,0,0,0,0,0,0,1
Fri,3/25/2016,5330.83,6025.00,5999.40,372.13,823.26, 0.07 , 0.14 ,0,0,0,0,0,0,0,0,0,0,0,0
Sat,3/26/2016,5062.47,6200.00,6032.97,357.94,753.67, 0.07 , 0.12 ,0,0,0,0,0,0,0,0,0,0,0,0
Sun,3/27/2016,2748.05,3505.00,4859.37,178.09,626.62, 0.06 , 0.13 ,0,0,0,0,0,0,0,0,0,0,0,0
Mon,3/28/2016,3684.06,3555.00,3973.45,540.92,411.29, 0.15 , 0.10 ,0,0,0,0,0,0,0,0,0,0,0,0
Tue,3/29/2016,3771.31,3910.00,4907.96,368.99,310.00, 0.10 , 0.06 ,0,0,0,0,0,0,0,0,0,0,0,0
Wed,3/30/2016,5067.88,5210.00,5570.65,1661.42,499.24, 0.33 , 0.09 ,1,0,0,1,0,0,0,1,0,0,0,0
Thu,3/31/2016,4984.52,5105.00,5410.35,579.38,424.47, 0.12 , 0.08 ,0,0,0,0,0,0,0,0,0,0,0,0
Fri,4/1/2016,9542.44,7560.00,6279.50,1878.85,480.31, 0.20 , 0.08 ,0,1,1,0,0,0,0,0,0,0,0,1
Sat,4/2/2016,8957.14,9000.00,6189.72,162.92,453.19, 0.02 , 0.07 ,0,0,0,0,0,0,0,0,0,0,0,1
Sun,4/3/2016,7757.15,5500.00,3442.50,1182.74,221.38, 0.15 , 0.06 ,0,1,0,1,0,0,0,0,0,0,0,1
Mon,4/4/2016,3841.56,3800.00,3970.74,1195.19,1151.80, 0.31 , 0.29 ,0,0,0,0,0,0,0,0,0,0,0,0
Tue,4/5/2016,3952.52,4230.00,4174.45,1071.93,975.72, 0.27 , 0.23 ,0,0,0,0,0,0,0,0,0,0,0,0
Wed,4/6/2016,4401.00,5280.00,5095.35,403.77,371.82, 0.09 , 0.07 ,1,0,0,0,1,0,0,0,1,0,0,0
Thu,4/7/2016,4379.55,4600.00,4607.17,754.27,992.64, 0.17 , 0.22 ,0,0,0,0,0,0,0,0,0,0,0,0
Fri,4/8/2016,5053.91,5800.00,5234.28,387.38,309.70, 0.08 , 0.06 ,0,0,0,0,0,0,0,0,0,0,0,0
Sat,4/9/2016,4932.38,6700.00,5453.47,366.59,291.83, 0.07 , 0.05 ,0,0,0,0,0,0,0,0,0,0,0,0
Sun,4/10/2016,3833.05,4900.00,4156.71,260.61,216.19, 0.07 , 0.05 ,0,0,0,0,0,0,0,0,0,0,0,0
Mon,4/11/2016,3496.32,3900.00,3761.51,750.57,907.49, 0.21 , 0.24 ,0,0,0,0,0,0,0,0,0,0,0,0
Tue,4/12/2016,3800.46,5000.00,4375.57,833.38,1262.26, 0.22 , 0.29 ,0,0,0,0,0,0,0,0,0,0,0,0
Wed,4/13/2016,6842.91,5200.00,5740.83,1238.21,466.32, 0.18 , 0.08 ,1,0,0,1,1,0,0,1,0,0,0,1
Thu,4/14/2016,5919.39,4900.00,4860.20,1442.11,573.99, 0.24 , 0.12 ,0,0,0,0,0,0,0,0,0,0,0,1
Fri,4/15/2016,6665.35,6500.00,7350.09,898.80,1105.32, 0.13 , 0.15 ,0,0,1,0,0,0,0,0,0,0,0,0
Sat,4/16/2016,6910.25,6800.00,8906.34,858.45,1450.76, 0.12 , 0.16 ,0,0,0,0,0,0,0,0,0,0,0,0
Sun,4/17/2016,5463.94,4400.00,4347.03,614.25,238.97, 0.11 , 0.05 ,0,0,0,0,0,0,0,0,0,0,0,1
Mon,4/18/2016,4670.87,4200.00,3878.36,631.49,313.31, 0.14 , 0.08 ,0,0,0,0,0,0,0,0,0,0,0,1
Tue,4/19/2016,5311.28,4350.00,4166.75,708.65,523.20, 0.13 , 0.13 ,0,0,0,0,0,0,0,0,0,0,0,1
Wed,4/20/2016,5002.92,5037.00,4539.04,333.31,273.76, 0.07 , 0.06 ,1,0,0,0,1,0,0,0,0,0,0,1
Thu,4/21/2016,4359.53,4700.00,4382.70,278.78,288.76, 0.06 , 0.07 ,0,0,0,0,0,0,0,0,0,0,0,0
Fri,4/22/2016,5556.05,6400.00,5185.04,551.22,357.89, 0.10 , 0.07 ,0,0,0,0,0,0,0,0,0,0,0,1
Sat,4/23/2016,5647.49,6500.00,5344.87,573.29,300.34, 0.10 , 0.06 ,0,0,0,0,0,0,0,0,0,0,0,1
Sun,4/24/2016,4377.08,5200.00,4348.47,445.02,222.47, 0.10 , 0.05 ,0,0,0,0,0,0,0,0,0,0,0,1
Mon,4/25/2016,4049.60,4200.00,3823.10,327.83,256.81, 0.08 , 0.07 ,0,0,0,0,0,0,0,0,0,0,0,1
Tue,4/26/2016,4494.36,4900.00,3997.76,595.75,316.63, 0.13 , 0.08 ,0,0,0,0,0,0,0,0,0,0,0,1
Wed,4/27/2016,5746.98,4500.00,6012.73,1382.01,1283.98, 0.24 , 0.21 ,1,0,0,0,1,0,0,0,1,1,0,0
Thu,4/28/2016,5165.41,4930.00,5565.20,695.32,741.66, 0.13 , 0.13 ,0,0,0,0,0,0,0,0,0,0,0,0
Fri,4/29/2016,7753.99,6800.00,6379.31,1427.87,600.28, 0.18 , 0.09 ,0,0,1,0,0,0,0,1,0,0,0,1
Sat,4/30/2016,7068.22,6917.00,6423.23,147.68,712.95, 0.02 , 0.11 ,0,0,0,0,0,0,0,0,0,0,0,1
Sun,5/1/2016,5752.57,5500.00,4890.09,913.73,310.48, 0.16 , 0.06 ,0,0,0,0,1,0,0,0,0,0,0,1
Mon,5/2/2016,4337.66,4600.00,4858.05,1039.22,687.30, 0.24 , 0.14 ,0,0,0,0,0,0,0,0,0,0,0,0
Tue,5/3/2016,4437.60,4800.00,4917.23,709.79,690.67, 0.16 , 0.14 ,0,0,0,0,0,0,0,0,0,0,0,0
Wed,5/4/2016,6002.54,5900.00,5555.64,996.47,527.18, 0.17 , 0.09 ,1,0,0,0,1,0,0,0,0,1,0,1
Thu,5/5/2016,5161.64,5500.00,5372.60,827.46,840.73, 0.16 , 0.16 ,0,0,0,0,0,0,0,0,0,0,0,0
Fri,5/6/2016,6131.58,6250.00,6124.10,815.52,536.05, 0.13 , 0.09 ,0,0,0,0,0,0,0,0,0,0,0,1
Sat,5/7/2016,6678.80,6950.00,6846.64,749.05,594.04, 0.11 , 0.09 ,0,0,0,0,0,0,0,0,0,0,0,0
Sun,5/8/2016,4432.81,4850.00,4729.09,464.09,419.68, 0.10 , 0.09 ,0,0,0,1,0,0,0,0,0,0,0,0
