ds,holiday,lower_window,upper_window
3/11/2015,scratch,0,7
4/5/2015,holiday,-2,2
6/17/2015,scratch,0,7
7/4/2015,holiday,-2,2
7/15/2015,scratch,0,7
8/12/2015,scratch,0,7
10/14/2015,scratch,0,7
11/11/2015,scratch,0,7
11/26/2015,holiday,-2,2
12/2/2015,scratch,0,7
12/16/2015,scratch,0,7
12/25/2015,holiday,-2,2
1/1/2016,holiday,-2,2
