desc,num,txns,desc2
$25 OFF TIRE SETS $300 OR MORE_MAIL,10837548,98.00,'$25 OFF TIRE SETS $300 OR MORE_MAIL
$25 OFF TIRE SETS $300 OR MORE_EMAIL,10837557,2.00,'$25 OFF TIRE SETS $300 OR MORE_EMAIL
$50 OFF TIRE SETS $500 OR MORE_MAIL,10837560,94.00,'$50 OFF TIRE SETS $500 OR MORE_MAIL
$50 OFF TIRE SETS $500 OR MORE_EMAIL,10837569,5.00,'$50 OFF TIRE SETS $500 OR MORE_EMAIL
"25% OFF ANY SINGLE MEN'S, LADIES', CHILDREN'S, INT",10844024,61767.00,"'25% OFF ANY SINGLE MEN'S, LADIES', CHILDREN'S, INT"
"25% OFF ANY SINGLE MEN'S, LADIES', CHILDREN'S, INT",10844031,5392.00,"'25% OFF ANY SINGLE MEN'S, LADIES', CHILDREN'S, INT"
"25% OFF ANY SINGLE MEN'S, LADIES', CHILDREN'S, INT",10844037,3508.00,"'25% OFF ANY SINGLE MEN'S, LADIES', CHILDREN'S, INT"
"25% OFF ANY SINGLE LUGGAGE, HANDBAG & SMALL LEATHE",10844041,21086.00,"'25% OFF ANY SINGLE LUGGAGE, HANDBAG & SMALL LEATHE"
"25% OFF ANY SINGLE LUGGAGE, HANDBAG & SMALL LEATHE",10844046,960.00,"'25% OFF ANY SINGLE LUGGAGE, HANDBAG & SMALL LEATHE"
"25% OFF ANY SINGLE LUGGAGE, HANDBAG & SMALL LEATHE",10844062,949.00,"'25% OFF ANY SINGLE LUGGAGE, HANDBAG & SMALL LEATHE"
25% OFF ANY SINGLE SHOES ITEM_MAIL,10844064,23201.00,'25% OFF ANY SINGLE SHOES ITEM_MAIL
25% OFF ANY SINGLE SHOES ITEM_WEB,10844070,1112.00,'25% OFF ANY SINGLE SHOES ITEM_WEB
25% OFF ANY SINGLE SHOES ITEM_EMAIL,10844071,1120.00,'25% OFF ANY SINGLE SHOES ITEM_EMAIL
20% OFF SINGLE REGULAR PRICED FURNITURE OR MATTRES,10844082,1017.00,'20% OFF SINGLE REGULAR PRICED FURNITURE OR MATTRES
20% OFF SINGLE REGULAR PRICED FURNITURE OR MATTRES,10844083,63.00,'20% OFF SINGLE REGULAR PRICED FURNITURE OR MATTRES
20% OFF SINGLE REGULAR PRICED FURNITURE OR MATTRES,10844084,23.00,'20% OFF SINGLE REGULAR PRICED FURNITURE OR MATTRES
10% OFF SINGLE REGULAR PRICED SMALL KITCHEN APPLIA,10844086,1682.00,'10% OFF SINGLE REGULAR PRICED SMALL KITCHEN APPLIA
10% OFF SINGLE REGULAR PRICED SMALL KITCHEN APPLIA,10844087,73.00,'10% OFF SINGLE REGULAR PRICED SMALL KITCHEN APPLIA
10% OFF SINGLE REGULAR PRICED SMALL KITCHEN APPLIA,10844088,40.00,'10% OFF SINGLE REGULAR PRICED SMALL KITCHEN APPLIA
"$15 MOTHER'S DAY COUPON (VALID MAY 10-23, 2017)",10844091,13673.00,"'$15 MOTHER'S DAY COUPON (VALID MAY 10-23, 2017)"
$20 OFF NEXCares Care Package Event Coupon - VALID,10850404,61.00,'$20 OFF NEXCares Care Package Event Coupon - VALID
"20% OFF SINGLE REGULAR PRICED BED & BATH, COOKWARE",10851741,5493.00,"'20% OFF SINGLE REGULAR PRICED BED & BATH, COOKWARE"
