Date,Week,Month,Quarter,Year,Txns,Sales $
26-Apr-2015,Wk13,APR,Q1,2015,"47,132","$3,033,231"
27-Apr-2015,Wk13,APR,Q1,2015,"44,749","$2,168,760"
28-Apr-2015,Wk13,APR,Q1,2015,"45,566","$2,247,421"
29-Apr-2015,Wk13,APR,Q1,2015,"60,273","$3,966,418"
30-Apr-2015,Wk13,APR,Q1,2015,"61,064","$3,425,960"
1-May-2015,Wk13,APR,Q1,2015,"64,740","$3,802,833"
2-May-2015,Wk13,APR,Q1,2015,"65,254","$4,412,322"
3-May-2015,Wk14,MAY,Q2,2015,"52,890","$3,373,343"
4-May-2015,Wk14,MAY,Q2,2015,"54,494","$2,751,145"
5-May-2015,Wk14,MAY,Q2,2015,"53,674","$2,800,565"
6-May-2015,Wk14,MAY,Q2,2015,"60,633","$3,268,002"
7-May-2015,Wk14,MAY,Q2,2015,"59,292","$3,157,640"
8-May-2015,Wk14,MAY,Q2,2015,"66,798","$3,889,830"
9-May-2015,Wk14,MAY,Q2,2015,"75,879","$5,190,128"
10-May-2015,Wk15,MAY,Q2,2015,"52,565","$3,434,740"
11-May-2015,Wk15,MAY,Q2,2015,"48,631","$2,269,080"
12-May-2015,Wk15,MAY,Q2,2015,"51,318","$2,413,228"
13-May-2015,Wk15,MAY,Q2,2015,"53,127","$3,530,766"
14-May-2015,Wk15,MAY,Q2,2015,"56,958","$3,276,862"
15-May-2015,Wk15,MAY,Q2,2015,"61,050","$3,520,444"
16-May-2015,Wk15,MAY,Q2,2015,"63,207","$4,299,805"
17-May-2015,Wk16,MAY,Q2,2015,"53,227","$3,582,084"
18-May-2015,Wk16,MAY,Q2,2015,"48,625","$2,462,883"
19-May-2015,Wk16,MAY,Q2,2015,"50,612","$2,653,671"
20-May-2015,Wk16,MAY,Q2,2015,"58,822","$3,276,371"
21-May-2015,Wk16,MAY,Q2,2015,"58,331","$3,185,582"
22-May-2015,Wk16,MAY,Q2,2015,"69,427","$4,467,397"
23-May-2015,Wk16,MAY,Q2,2015,"64,712","$4,732,979"
24-May-2015,Wk17,MAY,Q2,2015,"51,207","$3,659,339"
25-May-2015,Wk17,MAY,Q2,2015,"42,410","$3,208,304"
26-May-2015,Wk17,MAY,Q2,2015,"50,312","$2,594,097"
27-May-2015,Wk17,MAY,Q2,2015,"50,792","$2,455,813"
28-May-2015,Wk17,MAY,Q2,2015,"53,418","$2,648,537"
29-May-2015,Wk17,MAY,Q2,2015,"63,877","$3,407,683"
30-May-2015,Wk17,MAY,Q2,2015,"62,109","$3,975,611"
31-May-2015,Wk18,JUN,Q2,2015,"51,127","$3,133,754"
1-Jun-2015,Wk18,JUN,Q2,2015,"51,093","$2,563,130"
2-Jun-2015,Wk18,JUN,Q2,2015,"50,836","$2,524,173"
3-Jun-2015,Wk18,JUN,Q2,2015,"52,800","$2,789,063"
4-Jun-2015,Wk18,JUN,Q2,2015,"53,400","$2,730,544"
5-Jun-2015,Wk18,JUN,Q2,2015,"60,655","$3,328,944"
6-Jun-2015,Wk18,JUN,Q2,2015,"58,842","$3,715,757"
7-Jun-2015,Wk19,JUN,Q2,2015,"49,483","$3,010,199"
8-Jun-2015,Wk19,JUN,Q2,2015,"48,253","$2,297,934"
9-Jun-2015,Wk19,JUN,Q2,2015,"48,544","$2,386,703"
10-Jun-2015,Wk19,JUN,Q2,2015,"51,628","$2,869,060"
11-Jun-2015,Wk19,JUN,Q2,2015,"52,331","$2,695,642"
12-Jun-2015,Wk19,JUN,Q2,2015,"61,681","$3,449,615"
13-Jun-2015,Wk19,JUN,Q2,2015,"60,822","$3,965,221"
14-Jun-2015,Wk20,JUN,Q2,2015,"50,035","$2,989,508"
15-Jun-2015,Wk20,JUN,Q2,2015,"49,022","$2,369,972"
16-Jun-2015,Wk20,JUN,Q2,2015,"49,174","$2,417,466"
17-Jun-2015,Wk20,JUN,Q2,2015,"67,442","$5,726,778"
18-Jun-2015,Wk20,JUN,Q2,2015,"61,453","$4,252,595"
19-Jun-2015,Wk20,JUN,Q2,2015,"67,863","$4,681,750"
20-Jun-2015,Wk20,JUN,Q2,2015,"69,896","$5,803,643"
21-Jun-2015,Wk21,JUN,Q2,2015,"51,668","$4,030,640"
22-Jun-2015,Wk21,JUN,Q2,2015,"54,257","$3,185,356"
23-Jun-2015,Wk21,JUN,Q2,2015,"59,380","$3,930,011"
24-Jun-2015,Wk21,JUN,Q2,2015,"48,571","$2,306,943"
25-Jun-2015,Wk21,JUN,Q2,2015,"48,520","$2,382,881"
26-Jun-2015,Wk21,JUN,Q2,2015,"52,497","$2,678,048"
27-Jun-2015,Wk21,JUN,Q2,2015,"51,282","$3,166,069"
28-Jun-2015,Wk22,JUN,Q2,2015,"41,669","$2,513,672"
29-Jun-2015,Wk22,JUN,Q2,2015,"43,189","$2,068,014"
30-Jun-2015,Wk22,JUN,Q2,2015,"53,098","$2,752,404"
1-Jul-2015,Wk22,JUN,Q2,2015,"71,620","$4,947,791"
2-Jul-2015,Wk22,JUN,Q2,2015,"71,335","$4,316,765"
3-Jul-2015,Wk22,JUN,Q2,2015,"65,129","$4,420,030"
4-Jul-2015,Wk22,JUN,Q2,2015,"37,944","$2,350,862"
5-Jul-2015,Wk23,JUL,Q2,2015,"40,535","$2,595,890"
6-Jul-2015,Wk23,JUL,Q2,2015,"47,984","$2,564,307"
7-Jul-2015,Wk23,JUL,Q2,2015,"49,904","$2,548,048"
8-Jul-2015,Wk23,JUL,Q2,2015,"48,137","$2,327,890"
9-Jul-2015,Wk23,JUL,Q2,2015,"48,902","$2,386,488"
10-Jul-2015,Wk23,JUL,Q2,2015,"53,072","$2,610,144"
11-Jul-2015,Wk23,JUL,Q2,2015,"52,087","$3,032,224"
12-Jul-2015,Wk24,JUL,Q2,2015,"43,110","$2,429,105"
13-Jul-2015,Wk24,JUL,Q2,2015,"42,647","$1,816,611"
14-Jul-2015,Wk24,JUL,Q2,2015,"48,869","$2,325,624"
15-Jul-2015,Wk24,JUL,Q2,2015,"66,628","$5,185,947"
16-Jul-2015,Wk24,JUL,Q2,2015,"58,896","$3,699,474"
17-Jul-2015,Wk24,JUL,Q2,2015,"63,653","$4,124,707"
18-Jul-2015,Wk24,JUL,Q2,2015,"63,509","$4,903,022"
19-Jul-2015,Wk25,JUL,Q2,2015,"53,403","$3,901,757"
20-Jul-2015,Wk25,JUL,Q2,2015,"53,919","$3,172,041"
21-Jul-2015,Wk25,JUL,Q2,2015,"60,525","$3,890,358"
